USE_Twb,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
False,1,0.2000000,100,75.4257600,0.0502096,0.0816394,0.0825321,1.9459161,44.7442754,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.2000000,100,105.9395311,0.0366680,0.0596713,0.0886695,1.9459174,44.7442754,"[0.9980401, -0.0371316, -0.0506360, 0.0120715, 0.0290066, 0.9877744, -0.1537109, -0.0261860, 0.0556900, 0.1519528, 0.9869081, -0.0236691, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,5,0.2000000,100,95.3826771,0.0373892,0.0613347,0.0863371,1.9459215,44.7442754,"[0.9983429, -0.0322620, -0.0478516, 0.0168305, 0.0252636, 0.9897394, -0.1410520, -0.0197930, 0.0518880, 0.1396176, 0.9889095, -0.0286724, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,10,0.2000000,100,111.9112220,0.0407638,0.0658325,0.0865808,1.9459449,44.7442754,"[0.9977514, -0.0342655, -0.0578882, 0.0288543, 0.0247791, 0.9871539, -0.1584344, -0.0072669, 0.0625393, 0.1566567, 0.9857768, -0.0405393, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,15,0.2000000,100,95.2322838,0.0412044,0.0663327,0.0879772,1.9459321,44.7442754,"[0.9972883, -0.0378839, -0.0634617, 0.0314121, 0.0266305, 0.9850329, -0.1710495, -0.0077231, 0.0689449, 0.1689140, 0.9833617, -0.0453731, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,20,0.2000000,100,95.6501601,0.0403475,0.0650443,0.0886325,1.9459140,44.7442754,"[0.9974876, -0.0360310, -0.0613125, 0.0331098, 0.0257360, 0.9865058, -0.1623376, -0.0096871, 0.0662956, 0.1603671, 0.9849473, -0.0515315, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,25,0.2000000,100,105.9929280,0.0403049,0.0650989,0.0867435,1.9459136,44.7442754,"[0.9978475, -0.0326577, -0.0571161, 0.0340166, 0.0238665, 0.9885797, -0.1493018, -0.0091035, 0.0613120, 0.1476283, 0.9872259, -0.0532573, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,30,0.2000000,100,125.6302419,0.0407998,0.0659533,0.0861660,1.9459258,44.7442754,"[0.9968358, -0.0419430, -0.0679650, 0.0332057, 0.0292974, 0.9835630, -0.1790454, -0.0118636, 0.0742975, 0.1765117, 0.9816676, -0.0556360, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,35,0.2000000,100,111.4097903,0.0413655,0.0670820,0.0870830,1.9459161,44.7442754,"[0.9950970, -0.0549424, -0.0830967, 0.0329239, 0.0356404, 0.9749521, -0.2211848, -0.0141743, 0.0930241, 0.2171964, 0.9721004, -0.0597799, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,40,0.2000000,100,113.1409972,0.0417715,0.0679073,0.0869170,1.9459335,44.7442754,"[0.9943287, -0.0596163, -0.0891266, 0.0345005, 0.0374426, 0.9714690, -0.2361952, -0.0136896, 0.1004774, 0.2315946, 0.9681529, -0.0645199, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
