USE_Twb,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
False,1,0.1500000,100,64.2883942,0.0368316,0.0598398,0.0763640,1.9473794,33.5604978,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1500000,100,79.9190521,0.0301998,0.0486932,0.0774403,1.9473848,33.5604978,"[0.9992570, -0.0217810, -0.0318712, 0.0088955, 0.0182650, 0.9941029, -0.1070692, -0.0051465, 0.0340085, 0.1064097, 0.9937608, -0.0114376, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,5,0.1500000,100,76.6092532,0.0302257,0.0491683,0.0774396,1.9473820,33.5604978,"[0.9993969, -0.0188648, -0.0292073, 0.0112036, 0.0159690, 0.9952042, -0.0966379, -0.0045244, 0.0308859, 0.0961146, 0.9949044, -0.0156694, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,10,0.1500000,100,76.7734299,0.0324401,0.0521296,0.0773079,1.9473814,33.5604978,"[0.9992751, -0.0191274, -0.0329780, 0.0171460, 0.0157128, 0.9947624, -0.1011497, -0.0009937, 0.0347349, 0.1005599, 0.9943410, -0.0221255, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,15,0.1500000,100,76.1676912,0.0324047,0.0520089,0.0775708,1.9473808,33.5604978,"[0.9991908, -0.0202501, -0.0348250, 0.0182859, 0.0164956, 0.9943286, -0.1052347, -0.0013395, 0.0367524, 0.1045772, 0.9938570, -0.0240247, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,20,0.1500000,100,74.6253152,0.0313880,0.0504293,0.0775717,1.9473741,33.5604978,"[0.9992729, -0.0191762, -0.0330144, 0.0190149, 0.0158015, 0.9948878, -0.0998886, -0.0024598, 0.0347561, 0.0992960, 0.9944666, -0.0269253, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,25,0.1500000,100,71.6733398,0.0309580,0.0497729,0.0779622,1.9473857,33.5604978,"[0.9993272, -0.0183075, -0.0318351, 0.0197111, 0.0151905, 0.9952984, -0.0957864, -0.0025528, 0.0334349, 0.0952398, 0.9949061, -0.0291546, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,30,0.1500000,100,74.3065488,0.0311473,0.0500757,0.0780929,1.9473725,33.5604978,"[0.9990205, -0.0228244, -0.0380010, 0.0194439, 0.0184549, 0.9935593, -0.1120076, -0.0031614, 0.0403045, 0.1111995, 0.9930059, -0.0302694, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,35,0.1500000,100,78.4734271,0.0315020,0.0507394,0.0805418,1.9473615,33.5604978,"[0.9984939, -0.0289943, -0.0467466, 0.0193877, 0.0224772, 0.9906320, -0.1350623, -0.0034478, 0.0502065, 0.1338147, 0.9897882, -0.0321531, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,40,0.1500000,100,74.4377158,0.0315793,0.0509385,0.0770423,1.9473765,33.5604978,"[0.9983872, -0.0301580, -0.0482867, 0.0195549, 0.0232159, 0.9900570, -0.1391384, -0.0032574, 0.0519821, 0.1378004, 0.9891564, -0.0331496, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,45,0.1500000,100,68.1812019,0.0312841,0.0502281,0.0765024,1.9473769,33.5604978,"[0.9983705, -0.0299495, -0.0487598, 0.0201215, 0.0229681, 0.9901264, -0.1386804, -0.0031523, 0.0524114, 0.1373420, 0.9891970, -0.0373278, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
