USE_Twb,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
False,1,0.1000000,100,56.1127653,0.0243496,0.0379936,0.0030704,2.8167412,21.2122247,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,79.2112763,0.0125670,0.0196310,0.0031202,2.8167329,21.2122247,"[0.9999744, 0.0049304, -0.0051792, 0.0011266, -0.0048934, 0.9999626, 0.0071311, -0.0104925, 0.0052142, -0.0071056, 0.9999611, -0.0028128, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,5,0.1000000,100,74.6188760,0.0130424,0.0202004,0.0030954,2.8167541,21.2122247,"[0.9999780, 0.0046422, -0.0047407, 0.0014729, -0.0046096, 0.9999658, 0.0068631, -0.0103201, 0.0047724, -0.0068411, 0.9999652, -0.0031233, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,10,0.1000000,100,73.7791827,0.0134962,0.0206630,0.0030954,2.8167541,21.2122247,"[0.9999767, 0.0042439, -0.0053534, 0.0041932, -0.0042069, 0.9999673, 0.0068998, -0.0100302, 0.0053825, -0.0068771, 0.9999619, -0.0030916, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,15,0.1000000,100,74.0233564,0.0135669,0.0205912,0.0031064,2.8167362,21.2122247,"[0.9999527, 0.0060208, -0.0076389, 0.0033132, -0.0059648, 0.9999554, 0.0073278, -0.0105497, 0.0076827, -0.0072819, 0.9999440, -0.0033882, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,20,0.1000000,100,73.1017792,0.0137044,0.0206935,0.0031064,2.8167362,21.2122247,"[0.9999455, 0.0060156, -0.0085324, 0.0045600, -0.0059492, 0.9999520, 0.0077898, -0.0118841, 0.0085788, -0.0077386, 0.9999332, -0.0025127, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,25,0.1000000,100,72.5614192,0.0140134,0.0211205,0.0031064,2.8167362,21.2122247,"[0.9998335, 0.0101207, -0.0151867, 0.0029658, -0.0099939, 0.9999148, 0.0084055, -0.0119358, 0.0152705, -0.0082524, 0.9998494, -0.0036791, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,30,0.1000000,100,73.1395545,0.0143366,0.0217870,0.0031202,2.8167329,21.2122247,"[0.9996832, 0.0132891, -0.0213775, 0.0026711, -0.0131057, 0.9998763, 0.0086952, -0.0119938, 0.0214904, -0.0084123, 0.9997337, -0.0051925, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,35,0.1000000,100,69.3724983,0.0151683,0.0234530,0.0030954,2.8167541,21.2122247,"[0.9984958, 0.0241268, -0.0492590, 0.0078349, -0.0236059, 0.9996596, 0.0111366, -0.0102902, 0.0495107, -0.0099580, 0.9987249, -0.0137409, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,40,0.1000000,100,68.8297179,0.0154381,0.0240449,0.0031009,2.8167512,21.2122247,"[0.9992492, 0.0187021, -0.0339397, 0.0036605, -0.0183870, 0.9997852, 0.0095763, -0.0127185, 0.0341115, -0.0089453, 0.9993783, -0.0079949, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
