USE_Twb,Obs-criteria,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,RMSE bias gyr,yaw error,Distancia recorrida,Transformación rígida (flattened)
False,True,11,0.1000000,100,42.3451571,0.0247523,0.0398216,0.0620698,1.9458870,0.0471795,2.3632971,22.3770339,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,True,11,0.1000000,100,57.3139129,0.0240965,0.0382771,0.0631783,1.9458870,0.0468345,2.3588888,22.3770339,"[0.9998620, -0.0092636, -0.0138004, 0.0065515, 0.0084720, 0.9983736, -0.0564028, 0.0015029, 0.0143000, 0.0562782, 0.9983142, -0.0113606, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,True,11,0.1000000,100,57.0522277,0.0240965,0.0382771,0.0631783,1.9458870,0.0468809,2.3588888,22.3770339,"[0.9998620, -0.0092636, -0.0138004, 0.0065515, 0.0084720, 0.9983736, -0.0564028, 0.0015029, 0.0143000, 0.0562782, 0.9983142, -0.0113606, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,True,11,0.1000000,100,54.9110348,0.0240965,0.0382771,0.0631783,1.9458870,0.0468234,2.3588888,22.3770339,"[0.9998620, -0.0092636, -0.0138004, 0.0065515, 0.0084720, 0.9983736, -0.0564028, 0.0015029, 0.0143000, 0.0562782, 0.9983142, -0.0113606, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,True,11,0.1000000,100,54.0786390,0.0240965,0.0382771,0.0631783,1.9458870,0.0469621,2.3588888,22.3770339,"[0.9998620, -0.0092636, -0.0138004, 0.0065515, 0.0084720, 0.9983736, -0.0564028, 0.0015029, 0.0143000, 0.0562782, 0.9983142, -0.0113606, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,True,11,0.1000000,100,55.5588591,0.0240965,0.0382771,0.0631783,1.9458870,0.0472412,2.3588888,22.3770339,"[0.9998620, -0.0092636, -0.0138004, 0.0065515, 0.0084720, 0.9983736, -0.0564028, 0.0015029, 0.0143000, 0.0562782, 0.9983142, -0.0113606, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,True,11,0.1000000,100,53.7828040,0.0240965,0.0382771,0.0631783,1.9458870,0.0469043,2.3588888,22.3770339,"[0.9998620, -0.0092636, -0.0138004, 0.0065515, 0.0084720, 0.9983736, -0.0564028, 0.0015029, 0.0143000, 0.0562782, 0.9983142, -0.0113606, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,True,11,0.1000000,100,55.9755769,0.0240965,0.0382771,0.0631783,1.9458870,0.0468508,2.3588888,22.3770339,"[0.9998620, -0.0092636, -0.0138004, 0.0065515, 0.0084720, 0.9983736, -0.0564028, 0.0015029, 0.0143000, 0.0562782, 0.9983142, -0.0113606, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,True,11,0.1000000,100,56.7267420,0.0240965,0.0382771,0.0631783,1.9458870,0.0467288,2.3588888,22.3770339,"[0.9998620, -0.0092636, -0.0138004, 0.0065515, 0.0084720, 0.9983736, -0.0564028, 0.0015029, 0.0143000, 0.0562782, 0.9983142, -0.0113606, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,True,11,0.1000000,100,55.5365870,0.0240965,0.0382771,0.0631783,1.9458870,0.0471562,2.3588888,22.3770339,"[0.9998620, -0.0092636, -0.0138004, 0.0065515, 0.0084720, 0.9983736, -0.0564028, 0.0015029, 0.0143000, 0.0562782, 0.9983142, -0.0113606, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,True,11,0.1000000,100,57.7053709,0.0240965,0.0382771,0.0631783,1.9458870,0.0469402,2.3588888,22.3770339,"[0.9998620, -0.0092636, -0.0138004, 0.0065515, 0.0084720, 0.9983736, -0.0564028, 0.0015029, 0.0143000, 0.0562782, 0.9983142, -0.0113606, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
