USE_Twb,Obs-criteria,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,RMSE bias gyr,yaw error,Distancia recorrida,Transformación rígida (flattened)
False,False,1,0.1000000,100,42.1720188,0.0247523,0.0398216,0.0620698,1.9458870,0.0471919,2.3632971,22.3770339,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,1,0.1000000,100,55.8346200,0.0232039,0.0368070,0.0618832,1.9458870,0.0471751,2.3640434,22.3770339,"[0.9998383, -0.0108208, -0.0143763, 0.0027405, 0.0099078, 0.9980171, -0.0621928, 0.0018415, 0.0150201, 0.0620405, 0.9979628, -0.0060756, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,1,0.1000000,100,54.4683881,0.0232039,0.0368070,0.0618832,1.9458870,0.0469892,2.3640434,22.3770339,"[0.9998383, -0.0108208, -0.0143763, 0.0027405, 0.0099078, 0.9980171, -0.0621928, 0.0018415, 0.0150201, 0.0620405, 0.9979628, -0.0060756, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,1,0.1000000,100,53.5018659,0.0232039,0.0368070,0.0618832,1.9458870,0.0468207,2.3640434,22.3770339,"[0.9998383, -0.0108208, -0.0143763, 0.0027405, 0.0099078, 0.9980171, -0.0621928, 0.0018415, 0.0150201, 0.0620405, 0.9979628, -0.0060756, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,1,0.1000000,100,53.6908500,0.0232039,0.0368070,0.0618832,1.9458870,0.0468335,2.3640434,22.3770339,"[0.9998383, -0.0108208, -0.0143763, 0.0027405, 0.0099078, 0.9980171, -0.0621928, 0.0018415, 0.0150201, 0.0620405, 0.9979628, -0.0060756, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,1,0.1000000,100,54.5024741,0.0232039,0.0368070,0.0618832,1.9458870,0.0471048,2.3640434,22.3770339,"[0.9998383, -0.0108208, -0.0143763, 0.0027405, 0.0099078, 0.9980171, -0.0621928, 0.0018415, 0.0150201, 0.0620405, 0.9979628, -0.0060756, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,1,0.1000000,100,54.1465940,0.0232039,0.0368070,0.0618832,1.9458870,0.0470022,2.3640434,22.3770339,"[0.9998383, -0.0108208, -0.0143763, 0.0027405, 0.0099078, 0.9980171, -0.0621928, 0.0018415, 0.0150201, 0.0620405, 0.9979628, -0.0060756, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,1,0.1000000,100,53.3194201,0.0232039,0.0368070,0.0618832,1.9458870,0.0469228,2.3640434,22.3770339,"[0.9998383, -0.0108208, -0.0143763, 0.0027405, 0.0099078, 0.9980171, -0.0621928, 0.0018415, 0.0150201, 0.0620405, 0.9979628, -0.0060756, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,1,0.1000000,100,53.1188231,0.0232039,0.0368070,0.0618832,1.9458870,0.0470887,2.3640434,22.3770339,"[0.9998383, -0.0108208, -0.0143763, 0.0027405, 0.0099078, 0.9980171, -0.0621928, 0.0018415, 0.0150201, 0.0620405, 0.9979628, -0.0060756, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,1,0.1000000,100,54.1904712,0.0232039,0.0368070,0.0618832,1.9458870,0.0469371,2.3640434,22.3770339,"[0.9998383, -0.0108208, -0.0143763, 0.0027405, 0.0099078, 0.9980171, -0.0621928, 0.0018415, 0.0150201, 0.0620405, 0.9979628, -0.0060756, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,1,0.1000000,100,53.3315871,0.0232039,0.0368070,0.0618832,1.9458870,0.0472205,2.3640434,22.3770339,"[0.9998383, -0.0108208, -0.0143763, 0.0027405, 0.0099078, 0.9980171, -0.0621928, 0.0018415, 0.0150201, 0.0620405, 0.9979628, -0.0060756, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,1,0.1000000,100,55.0676699,0.0232039,0.0368070,0.0618832,1.9458870,0.0471197,2.3640434,22.3770339,"[0.9998383, -0.0108208, -0.0143763, 0.0027405, 0.0099078, 0.9980171, -0.0621928, 0.0018415, 0.0150201, 0.0620405, 0.9979628, -0.0060756, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
