USE_Twb,Obs-criteria,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,RMSE bias gyr,yaw error,Distancia recorrida,Transformación rígida (flattened)
False,False,1,0.1000000,100,40.7583971,0.0247523,0.0398216,0.0620698,1.9458870,0.0471443,2.3632971,22.3770339,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,1,0.1000000,100,53.8726802,0.0232039,0.0368070,0.0618832,1.9458870,0.0468819,2.3640434,22.3770339,"[0.9998383, -0.0108208, -0.0143763, 0.0027405, 0.0099078, 0.9980171, -0.0621928, 0.0018415, 0.0150201, 0.0620405, 0.9979628, -0.0060756, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,5,0.1000000,100,52.2899802,0.0230099,0.0368602,0.0618832,1.9458870,0.0468023,2.3640434,22.3770339,"[0.9998808, -0.0091991, -0.0124085, 0.0036980, 0.0084985, 0.9984279, -0.0554276, 0.0012533, 0.0128985, 0.0553156, 0.9983869, -0.0082693, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,10,0.1000000,100,53.1511769,0.0241102,0.0383223,0.0631784,1.9458870,0.0469815,2.3588887,22.3770339,"[0.9998682, -0.0090695, -0.0134718, 0.0063225, 0.0083075, 0.9984185, -0.0556258, 0.0014876, 0.0139546, 0.0555066, 0.9983622, -0.0111597, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,15,0.1000000,100,51.7186918,0.0235283,0.0374498,0.0631784,1.9458870,0.0470219,2.3588887,22.3770339,"[0.9998582, -0.0094241, -0.0139637, 0.0067283, 0.0086142, 0.9983374, -0.0570180, 0.0013993, 0.0144773, 0.0568898, 0.9982770, -0.0119185, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,20,0.1000000,100,49.5739939,0.0223091,0.0355280,0.0618832,1.9458870,0.0470611,2.3640435,22.3770339,"[0.9998773, -0.0089791, -0.0128398, 0.0068546, 0.0082639, 0.9984668, -0.0547559, 0.0009625, 0.0133113, 0.0546432, 0.9984185, -0.0130215, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,25,0.1000000,100,49.2087309,0.0217270,0.0345570,0.0618832,1.9458870,0.0470205,2.3640435,22.3770339,"[0.9998851, -0.0087962, -0.0123551, 0.0069211, 0.0081224, 0.9985303, -0.0536065, 0.0008147, 0.0128081, 0.0535001, 0.9984869, -0.0138854, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,30,0.1000000,100,48.4304602,0.0216806,0.0344324,0.0618832,1.9458870,0.0469483,2.3640435,22.3770339,"[0.9998333, -0.0105465, -0.0149154, 0.0066529, 0.0096274, 0.9981259, -0.0604631, 0.0010097, 0.0155245, 0.0603096, 0.9980609, -0.0139721, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,35,0.1000000,100,47.2188570,0.0216909,0.0344514,0.0609424,1.9458867,0.0468415,2.3678234,22.3770339,"[0.9997645, -0.0124427, -0.0177970, 0.0061877, 0.0112011, 0.9976032, -0.0683260, 0.0013548, 0.0186035, 0.0681109, 0.9975075, -0.0138649, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,40,0.1000000,100,46.4325540,0.0216777,0.0344182,0.0609424,1.9458867,0.0470536,2.3678236,22.3770339,"[0.9997247, -0.0133432, -0.0193176, 0.0063810, 0.0119187, 0.9973252, -0.0721675, 0.0014799, 0.0202276, 0.0719178, 0.9972094, -0.0148079, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
