USE_Twb,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
False,1,0.1000000,100,51.2635889,0.0305184,0.0507930,0.0012608,2.6619697,20.8688916,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,79.1550157,0.0186864,0.0298271,0.0013055,2.6619720,20.8688916,"[0.9999989, -0.0003131, 0.0014609, 0.0043529, 0.0002984, 0.9999498, 0.0100118, -0.0042506, -0.0014639, -0.0100114, 0.9999488, 0.0030545, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,5,0.1000000,100,77.4987800,0.0185675,0.0298399,0.0013014,2.6619740,20.8688916,"[0.9999984, -0.0001598, 0.0017761, 0.0046610, 0.0001413, 0.9999460, 0.0103911, -0.0042792, -0.0017776, -0.0103908, 0.9999444, 0.0033002, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,10,0.1000000,100,77.7395766,0.0187811,0.0300846,0.0013041,2.6619725,20.8688916,"[0.9999961, 0.0002315, 0.0027804, 0.0061056, -0.0002660, 0.9999230, 0.0124081, -0.0040711, -0.0027773, -0.0124088, 0.9999192, 0.0037573, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,15,0.1000000,100,76.9763405,0.0191765,0.0306330,0.0013055,2.6619720,20.8688916,"[0.9999882, 0.0014551, 0.0046374, 0.0076209, -0.0015432, 0.9998171, 0.0190623, -0.0023144, -0.0046088, -0.0190692, 0.9998075, 0.0022908, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,20,0.1000000,100,74.5090544,0.0197078,0.0314019,0.0013000,2.6619701,20.8688916,"[0.9999892, 0.0012389, 0.0044838, 0.0077345, -0.0013257, 0.9998110, 0.0193988, -0.0026680, -0.0044589, -0.0194045, 0.9998018, 0.0023791, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,25,0.1000000,100,75.7872858,0.0200680,0.0318134,0.0012973,2.6619711,20.8688916,"[0.9999961, -0.0000135, 0.0027881, 0.0066514, -0.0000266, 0.9998960, 0.0144173, -0.0046273, -0.0027880, -0.0144173, 0.9998922, 0.0041671, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,30,0.1000000,100,73.6709335,0.0203738,0.0323214,0.0013027,2.6619701,20.8688916,"[0.9999880, -0.0037563, 0.0031358, 0.0002935, 0.0037052, 0.9998626, 0.0161554, -0.0227217, -0.0031960, -0.0161436, 0.9998646, 0.0041954, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,35,0.1000000,100,72.2172644,0.0216529,0.0345765,0.0012973,2.6619711,20.8688916,"[0.9999928, 0.0016170, 0.0034290, 0.0087995, -0.0016850, 0.9997998, 0.0199406, -0.0032980, -0.0033961, -0.0199462, 0.9997953, 0.0027868, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,40,0.1000000,100,72.0206742,0.0234467,0.0380204,0.0012987,2.6619728,20.8688916,"[0.9999943, 0.0023023, 0.0024866, 0.0105009, -0.0023515, 0.9997981, 0.0199591, -0.0039273, -0.0024402, -0.0199648, 0.9997977, 0.0031586, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
