USE_Twb,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
False,1,0.1000000,100,51.1095915,0.0209179,0.0344710,0.0026777,1.8430758,20.9899259,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,76.5340135,0.0131468,0.0215838,0.0028485,1.8430709,20.9899259,"[0.9999011, -0.0024438, 0.0138528, -0.0111249, 0.0023727, 0.9999839, 0.0051487, -0.0004892, -0.0138652, -0.0051153, 0.9998908, -0.0079848, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,5,0.1000000,100,75.3230443,0.0120647,0.0198210,0.0028367,1.8430713,20.9899259,"[0.9998882, 0.0025108, 0.0147376, -0.0141357, -0.0025118, 0.9999968, 0.0000465, -0.0004205, -0.0147374, -0.0000836, 0.9998914, -0.0135345, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,10,0.1000000,100,74.5254128,0.0124583,0.0203666,0.0028367,1.8430713,20.9899259,"[0.9996811, 0.0056343, 0.0246179, -0.0273525, -0.0055831, 0.9999821, -0.0021500, -0.0017050, -0.0246295, 0.0020119, 0.9996946, -0.0253974, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,15,0.1000000,100,74.2082553,0.0124022,0.0201227,0.0028485,1.8430709,20.9899259,"[0.9996417, 0.0056547, 0.0261673, -0.0290314, -0.0056140, 0.9999829, -0.0016280, -0.0033836, -0.0261761, 0.0014805, 0.9996563, -0.0273712, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,20,0.1000000,100,74.4242864,0.0122860,0.0199228,0.0028660,1.8430705,20.9899259,"[0.9995960, 0.0059608, 0.0277938, -0.0309974, -0.0059256, 0.9999815, -0.0013484, -0.0044505, -0.0278013, 0.0011832, 0.9996129, -0.0285503, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,25,0.1000000,100,73.4399872,0.0122385,0.0198662,0.0028660,1.8430705,20.9899259,"[0.9994913, 0.0069617, 0.0311268, -0.0358287, -0.0069086, 0.9999745, -0.0018126, -0.0052877, -0.0311386, 0.0015967, 0.9995139, -0.0318050, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,30,0.1000000,100,73.0669215,0.0121931,0.0198295,0.0028660,1.8430705,20.9899259,"[0.9993970, 0.0072485, 0.0339613, -0.0398185, -0.0071899, 0.9999725, -0.0018495, -0.0053138, -0.0339738, 0.0016043, 0.9994216, -0.0343073, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,35,0.1000000,100,71.5609038,0.0123594,0.0201390,0.0028601,1.8430706,20.9899259,"[0.9996663, 0.0045604, 0.0254302, -0.0273838, -0.0045904, 0.9999889, 0.0011236, -0.0052414, -0.0254248, -0.0012399, 0.9996760, -0.0245493, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,40,0.1000000,100,69.8088615,0.0124791,0.0203726,0.0028485,1.8430709,20.9899259,"[0.9996592, 0.0059271, 0.0254247, -0.0279084, -0.0059174, 0.9999824, -0.0004540, -0.0036479, -0.0254269, 0.0003034, 0.9996767, -0.0240657, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,45,0.1000000,100,69.3974328,0.0127612,0.0211110,0.0028601,1.8430706,20.9899259,"[0.9995648, 0.0085845, 0.0282279, -0.0332325, -0.0085064, 0.9999596, -0.0028880, -0.0022327, -0.0282516, 0.0026467, 0.9995974, -0.0255328, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,50,0.1000000,100,69.5106473,0.0131797,0.0221920,0.0028776,1.8430700,20.9899259,"[0.9996754, 0.0120320, 0.0224591, -0.0294493, -0.0118817, 0.9999062, -0.0068168, -0.0005950, -0.0225390, 0.0065478, 0.9997246, -0.0183217, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,55,0.1000000,100,68.2816129,0.0143921,0.0242141,0.0028601,1.8430706,20.9899259,"[0.9995419, 0.0148828, 0.0263558, -0.0431373, -0.0146414, 0.9998493, -0.0093311, 0.0002217, -0.0264907, 0.0089410, 0.9996092, -0.0206874, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,60,0.1000000,100,64.9621160,0.0158648,0.0264282,0.0028308,1.8430715,20.9899259,"[0.9989530, 0.0452423, 0.0069328, -0.0388463, -0.0449267, 0.9981737, -0.0404261, 0.0109755, -0.0087474, 0.0400727, 0.9991593, -0.0130866, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,65,0.1000000,100,61.4485126,0.0171153,0.0285431,0.0027586,1.8430736,20.9899259,"[0.9999948, 0.0018312, 0.0026623, -0.0223548, -0.0018366, 0.9999962, 0.0020367, 0.0023028, -0.0026586, -0.0020416, 0.9999944, 0.0087742, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,70,0.1000000,100,56.2355251,0.0185315,0.0309030,0.0026777,1.8430758,20.9899259,"[0.9998561, -0.0104889, 0.0133390, -0.0400900, 0.0105053, 0.9999442, -0.0011625, 0.0198305, -0.0133261, 0.0013025, 0.9999104, -0.0042863, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,75,0.1000000,100,55.0327098,0.0193643,0.0322120,0.0026714,1.8430760,20.9899259,"[0.9996405, -0.0267901, -0.0011679, -0.0208656, 0.0268069, 0.9994752, 0.0181957, 0.0122643, 0.0006799, -0.0182205, 0.9998338, 0.0155959, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,80,0.1000000,100,56.7439742,0.0198787,0.0329327,0.0027029,1.8430752,20.9899259,"[0.9999406, -0.0089049, -0.0062818, -0.0271598, 0.0088909, 0.9999579, -0.0022659, 0.0206687, 0.0063017, 0.0022099, 0.9999777, 0.0093599, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,85,0.1000000,100,56.2325184,0.0201333,0.0332211,0.0027341,1.8430742,20.9899259,"[0.9999546, 0.0025887, -0.0091725, -0.0333779, -0.0025776, 0.9999959, 0.0012221, 0.0045136, 0.0091756, -0.0011984, 0.9999572, 0.0091749, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,90,0.1000000,100,53.1111035,0.0207895,0.0343053,0.0026777,1.8430758,20.9899259,"[0.9996735, -0.0009061, -0.0255376, -0.0157888, 0.0006761, 0.9999592, -0.0090152, 0.0213053, 0.0255447, 0.0089950, 0.9996333, 0.0138928, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,95,0.1000000,100,52.2531359,0.0209182,0.0344702,0.0026777,1.8430758,20.9899259,"[0.9996099, 0.0064184, -0.0271841, -0.0221236, -0.0064662, 0.9999777, -0.0016716, 0.0035207, 0.0271728, 0.0018467, 0.9996291, 0.0088180, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
