USE_Twb,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
False,1,0.1000000,100,72.8693898,0.0262679,0.0448010,0.0393695,1.9166033,21.8416035,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
False,1,0.1000000,100,61.1785717,0.0291819,0.0440619,0.0373495,1.9183501,22.8605511,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
False,1,0.1000000,100,65.9358320,0.0218081,0.0353582,0.0377308,1.9173543,21.4309334,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
False,1,0.1000000,100,65.6992719,0.0264135,0.0429142,0.0387394,1.9180219,22.8882681,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
False,1,0.1000000,100,57.6568847,0.0200617,0.0317708,0.0370624,1.9181684,22.5488001,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,60.8186924,0.0198166,0.0299703,0.0340898,1.9191400,22.9316712,"[0.9998999, -0.0011630, 0.0140998, -0.0127396, 0.0009611, 0.9998970, 0.0143202, -0.0027876, -0.0141150, -0.0143052, 0.9997981, -0.0044916, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,74.2898993,0.0170846,0.0256062,0.0358814,1.9172683,22.9931970,"[0.9999714, -0.0075682, -0.0000228, -0.0101364, 0.0075642, 0.9995365, -0.0294915, 0.0024904, 0.0002460, 0.0294905, 0.9995651, 0.0059119, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,71.9983718,0.0170530,0.0267137,0.0358792,1.9196421,24.4383720,"[0.9999200, 0.0022559, 0.0124486, -0.0011272, -0.0023544, 0.9999660, 0.0079054, 0.0017777, -0.0124303, -0.0079341, 0.9998913, -0.0005919, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,70.9322665,0.0199719,0.0338775,0.0351654,1.9182622,22.2376036,"[0.9999699, 0.0031059, 0.0071071, -0.0063378, -0.0030651, 0.9999788, -0.0057441, -0.0005415, -0.0071248, 0.0057222, 0.9999583, -0.0007769, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,76.9580863,0.0155753,0.0264766,0.0375884,1.9191467,23.4558427,"[0.9997993, 0.0064324, 0.0189737, -0.0174611, -0.0068082, 0.9997805, 0.0198140, -0.0058609, -0.0188421, -0.0199391, 0.9996237, -0.0057676, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
