USE_Twb,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
False,1,0.1000000,100,64.8591509,0.0199905,0.0321827,0.0572745,1.9475182,22.4085701,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
False,1,0.1000000,100,80.9569881,0.0210666,0.0319577,0.0688820,1.9480782,22.7668087,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
False,1,0.1000000,100,79.0742202,0.0217639,0.0344085,0.0687377,1.9470590,22.9663597,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
False,1,0.1000000,100,67.7246130,0.0267232,0.0395937,0.0601836,1.9463797,22.6106997,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
False,1,0.1000000,100,75.7157764,0.0214802,0.0344059,0.0664367,1.9504931,23.2649644,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,87.7153287,0.0180095,0.0263386,0.0608173,1.9491088,23.3181999,"[0.9998395, -0.0124888, -0.0128521, -0.0057677, 0.0117186, 0.9982256, -0.0584091, 0.0094615, 0.0135581, 0.0582493, 0.9982117, -0.0122617, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,92.4029040,0.0332024,0.0521511,0.0628452,1.9480425,22.4937903,"[0.9995974, -0.0156228, -0.0237174, 0.0085884, 0.0136250, 0.9965186, -0.0823306, 0.0123878, 0.0249187, 0.0819749, 0.9963298, -0.0018502, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,93.2804687,0.0257008,0.0428941,0.0635231,1.9444330,22.6747689,"[0.9997641, -0.0175187, -0.0128670, -0.0118034, 0.0165437, 0.9972405, -0.0724267, 0.0134828, 0.0140986, 0.0721970, 0.9972946, 0.0055639, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,85.9782188,0.0220777,0.0345488,0.0593343,1.9457526,21.0930338,"[0.9997489, 0.0059523, 0.0216041, -0.0079442, -0.0066049, 0.9995200, 0.0302734, -0.0023119, -0.0214136, -0.0304085, 0.9993084, -0.0006043, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,89.3661752,0.0280263,0.0446519,0.0616340,1.9469745,21.1245941,"[0.9999165, 0.0000373, 0.0129233, -0.0106219, -0.0001627, 0.9999530, 0.0096994, -0.0067608, -0.0129223, -0.0097007, 0.9998695, -0.0187841, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
