USE_Twb,Obs-criteria,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
True,False,1,0.1000000,100,44.6523020,0.0232952,0.0309969,0.0133176,1.8378085,22.6826266,"[0.9999869, 0.0022790, -0.0045679, 0.0115875, -0.0023222, 0.9999524, -0.0094806, 0.0032815, 0.0045461, 0.0094911, 0.9999446, -0.0035480, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,5,0.1000000,100,43.5108740,0.0165250,0.0251958,0.0131454,1.8378080,22.6826266,"[0.9999889, 0.0016504, -0.0044137, 0.0105758, -0.0017050, 0.9999218, -0.0123880, 0.0030420, 0.0043929, 0.0123954, 0.9999135, -0.0022589, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,10,0.1000000,100,42.4286311,0.0136013,0.0217372,0.0131702,1.8378080,22.6826266,"[0.9999967, 0.0012195, -0.0022475, 0.0098405, -0.0012382, 0.9999645, -0.0083275, 0.0012195, 0.0022372, 0.0083303, 0.9999628, -0.0021060, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,15,0.1000000,100,41.4000089,0.0126210,0.0202750,0.0131454,1.8378080,22.6826266,"[0.9999138, -0.0027421, -0.0128404, 0.0096237, 0.0022591, 0.9992947, -0.0374903, 0.0023342, 0.0129341, 0.0374581, 0.9992148, -0.0005437, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,20,0.1000000,100,41.5677891,0.0121922,0.0195756,0.0131206,1.8378080,22.6826266,"[0.9999993, 0.0006294, -0.0010046, 0.0086798, -0.0006351, 0.9999833, -0.0057403, -0.0005405, 0.0010010, 0.0057409, 0.9999830, -0.0025984, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,25,0.1000000,100,41.4245739,0.0121083,0.0195150,0.0132195,1.8378083,22.6826266,"[0.9999990, 0.0006448, -0.0012224, 0.0089451, -0.0006524, 0.9999804, -0.0062285, -0.0003558, 0.0012184, 0.0062293, 0.9999799, -0.0026889, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,30,0.1000000,100,41.0943291,0.0120532,0.0193928,0.0132195,1.8378083,22.6826266,"[0.9999990, 0.0005652, -0.0013066, 0.0087918, -0.0005739, 0.9999775, -0.0066750, -0.0003749, 0.0013028, 0.0066757, 0.9999769, -0.0027914, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,35,0.1000000,100,39.7825847,0.0120132,0.0192712,0.0131949,1.8378081,22.6826266,"[0.9999987, 0.0004585, -0.0014966, 0.0083401, -0.0004692, 0.9999744, -0.0071477, -0.0004689, 0.0014933, 0.0071484, 0.9999734, -0.0030571, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,40,0.1000000,100,39.5835562,0.0119206,0.0191150,0.0131702,1.8378080,22.6826266,"[0.9999993, 0.0003234, -0.0011497, 0.0078574, -0.0003316, 0.9999744, -0.0071542, -0.0006999, 0.0011473, 0.0071546, 0.9999738, -0.0032159, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,False,45,0.1000000,100,39.5463510,0.0118678,0.0191447,0.0132195,1.8378083,22.6826266,"[0.9999996, 0.0002288, -0.0008861, 0.0070293, -0.0002356, 0.9999706, -0.0076735, -0.0006591, 0.0008843, 0.0076737, 0.9999701, -0.0033656, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
