USE_Twb,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
False,1,0.1000000,100,36.5237961,0.0252774,0.0407019,0.0525009,1.9456138,22.3770339,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,54.8553529,0.0231925,0.0391901,0.0616018,1.9456111,22.3770339,"[0.9998410, -0.0107516, -0.0142381, 0.0026885, 0.0098522, 0.9980385, -0.0618564, 0.0018470, 0.0148745, 0.0617065, 0.9979856, -0.0060160, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,5,0.1000000,100,54.4492459,0.0230099,0.0388601,0.0625514,1.9456107,22.3770339,"[0.9998808, -0.0091991, -0.0124084, 0.0036974, 0.0084985, 0.9984279, -0.0554270, 0.0012536, 0.0128984, 0.0553151, 0.9983870, -0.0082693, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,10,0.1000000,100,54.0471420,0.0240094,0.0381760,0.0621732,1.9456109,22.3770339,"[0.9998720, -0.0089823, -0.0132470, 0.0062406, 0.0082390, 0.9984439, -0.0551769, 0.0014912, 0.0137216, 0.0550608, 0.9983900, -0.0109961, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,15,0.1000000,100,52.4474688,0.0234307,0.0373059,0.0623625,1.9456108,22.3770339,"[0.9998624, -0.0093313, -0.0137247, 0.0066446, 0.0085418, 0.9983649, -0.0565460, 0.0013944, 0.0142295, 0.0564211, 0.9983071, -0.0117538, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,20,0.1000000,100,51.8804159,0.0223094,0.0355284,0.0625514,1.9456107,22.3770339,"[0.9998773, -0.0089787, -0.0128392, 0.0068539, 0.0082636, 0.9984669, -0.0547542, 0.0009628, 0.0133108, 0.0546415, 0.9984186, -0.0130219, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,25,0.1000000,100,52.2265518,0.0216790,0.0344776,0.0616018,1.9456111,22.3770339,"[0.9998879, -0.0087222, -0.0121718, 0.0068518, 0.0080630, 0.9985505, -0.0532369, 0.0008087, 0.0126181, 0.0531329, 0.9985089, -0.0137550, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,30,0.1000000,100,49.5996678,0.0216290,0.0343454,0.0616018,1.9456111,22.3770339,"[0.9998375, -0.0104521, -0.0146995, 0.0065795, 0.0095531, 0.9981539, -0.0600105, 0.0010036, 0.0152990, 0.0598604, 0.9980914, -0.0138431, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,35,0.1000000,100,47.9229622,0.0216912,0.0344520,0.0616018,1.9456111,22.3770339,"[0.9997645, -0.0124429, -0.0177975, 0.0061869, 0.0112012, 0.9976032, -0.0683266, 0.0013553, 0.0186039, 0.0681114, 0.9975075, -0.0138653, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,40,0.1000000,100,47.9588223,0.0216781,0.0344189,0.0616018,1.9456111,22.3770339,"[0.9997247, -0.0133435, -0.0193183, 0.0063806, 0.0119190, 0.9973251, -0.0721687, 0.0014803, 0.0202283, 0.0719189, 0.9972094, -0.0148081, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,45,0.1000000,100,49.3181059,0.0214059,0.0337630,0.0616018,1.9456111,22.3770339,"[0.9997239, -0.0132207, -0.0194490, 0.0063669, 0.0117886, 0.9973321, -0.0720924, 0.0013863, 0.0203490, 0.0718435, 0.9972124, -0.0166329, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,50,0.1000000,100,48.8451309,0.0211246,0.0330683,0.0623625,1.9456108,22.3770339,"[0.9998723, -0.0077818, -0.0139637, 0.0074212, 0.0070688, 0.9987032, -0.0504358, 0.0027847, 0.0143379, 0.0503307, 0.9986306, -0.0287131, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,55,0.1000000,100,52.0424614,0.0213168,0.0335667,0.0640420,1.9456102,22.3770339,"[0.9998894, -0.0088929, -0.0119253, -0.0031734, 0.0082606, 0.9986086, -0.0521016, -0.0028625, 0.0123717, 0.0519974, 0.9985716, -0.0157879, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,60,0.1000000,100,50.1705170,0.0220010,0.0350109,0.0633012,1.9456105,22.3770339,"[0.9999812, -0.0030844, -0.0053122, -0.0073977, 0.0029241, 0.9995474, -0.0299431, -0.0011339, 0.0054021, 0.0299270, 0.9995376, -0.0238982, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,65,0.1000000,100,38.3092842,0.0230897,0.0371144,0.0522888,1.9456152,22.3770339,"[0.9999995, 0.0010097, 0.0001949, -0.0159037, -0.0010062, 0.9998491, -0.0173421, 0.0031564, -0.0002124, 0.0173419, 0.9998496, -0.0233881, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,70,0.1000000,100,46.1159191,0.0232890,0.0373876,0.0612182,1.9456112,22.3770339,"[0.9999985, 0.0007116, 0.0016011, -0.0245007, -0.0006846, 0.9998582, -0.0168273, 0.0014596, -0.0016128, 0.0168261, 0.9998571, -0.0178835, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,75,0.1000000,100,45.2642910,0.0238447,0.0383684,0.0621732,1.9456109,22.3770339,"[1.0000000, -0.0001067, -0.0001135, -0.0303821, 0.0001039, 0.9996882, -0.0249718, 0.0050799, 0.0001161, 0.0249718, 0.9996882, -0.0108236, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,80,0.1000000,100,44.0933640,0.0243652,0.0392602,0.0621732,1.9456109,22.3770339,"[0.9999583, 0.0066826, 0.0062258, -0.0305700, -0.0066361, 0.9999501, -0.0074684, 0.0168611, -0.0062754, 0.0074268, 0.9999527, -0.0109923, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
