USE_Twb,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
False,1,0.1000000,100,53.3046834,0.0263865,0.0417455,0.0037781,1.8389704,21.1661868,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,77.2246771,0.0183633,0.0321401,0.0040010,1.8389621,21.1661868,"[0.9982411, -0.0574782, -0.0146733, 0.0531338, 0.0579669, 0.9976921, 0.0354372, 0.0046019, 0.0126051, -0.0362245, 0.9992651, 0.0310152, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,5,0.1000000,100,75.6860950,0.0188901,0.0311699,0.0040012,1.8389621,21.1661868,"[0.9980826, -0.0600099, -0.0153263, 0.0553817, 0.0605482, 0.9974630, 0.0375241, 0.0042568, 0.0130386, -0.0383790, 0.9991792, 0.0330814, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,10,0.1000000,100,74.9692843,0.0187496,0.0307988,0.0039804,1.8389624,21.1661868,"[0.9973142, -0.0722540, -0.0123888, 0.0584186, 0.0727246, 0.9964252, 0.0431382, 0.0109847, 0.0092334, -0.0439218, 0.9989941, 0.0306491, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,15,0.1000000,100,73.8512647,0.0187514,0.0307980,0.0039805,1.8389624,21.1661868,"[0.9974183, -0.0711453, -0.0101926, 0.0555890, 0.0715051, 0.9966053, 0.0409454, 0.0122693, 0.0072500, -0.0415674, 0.9991109, 0.0261438, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,20,0.1000000,100,73.1448183,0.0189304,0.0311110,0.0039804,1.8389624,21.1661868,"[0.9971139, -0.0749947, -0.0122731, 0.0604847, 0.0754560, 0.9962314, 0.0429388, 0.0135857, 0.0090129, -0.0437394, 0.9990042, 0.0288276, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,25,0.1000000,100,72.4033442,0.0189208,0.0310694,0.0040013,1.8389621,21.1661868,"[0.9968922, -0.0771557, -0.0163010, 0.0669321, 0.0778024, 0.9960152, 0.0437812, 0.0147929, 0.0128651, -0.0449111, 0.9989104, 0.0330264, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,30,0.1000000,100,72.2448823,0.0188139,0.0308032,0.0040298,1.8389609,21.1661868,"[0.9971171, -0.0741757, -0.0163172, 0.0657719, 0.0747857, 0.9963744, 0.0407270, 0.0146490, 0.0132428, -0.0418278, 0.9990389, 0.0299369, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,35,0.1000000,100,70.9549918,0.0189271,0.0308309,0.0040298,1.8389609,21.1661868,"[0.9969673, -0.0760332, -0.0169375, 0.0672546, 0.0766508, 0.9962825, 0.0394981, 0.0170154, 0.0138772, -0.0406743, 0.9990779, 0.0278723, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,40,0.1000000,100,70.5203459,0.0193381,0.0312841,0.0040295,1.8389609,21.1661868,"[0.9966556, -0.0796044, -0.0188346, 0.0714737, 0.0803025, 0.9959813, 0.0398689, 0.0190583, 0.0155919, -0.0412451, 0.9990294, 0.0292331, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,45,0.1000000,100,69.5856853,0.0200588,0.0322283,0.0040301,1.8389609,21.1661868,"[0.9962852, -0.0845827, -0.0166877, 0.0706610, 0.0851897, 0.9955746, 0.0399249, 0.0221364, 0.0132447, -0.0411953, 0.9990655, 0.0253645, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,50,0.1000000,100,68.6422622,0.0210901,0.0338703,0.0040346,1.8389606,21.1661868,"[0.9975857, -0.0608513, -0.0335701, 0.0795340, 0.0618559, 0.9976438, 0.0297913, 0.0055871, 0.0316809, -0.0317930, 0.9989937, 0.0386059, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,55,0.1000000,100,68.5820348,0.0223706,0.0359499,0.0040671,1.8389596,21.1661868,"[0.9989960, -0.0403078, -0.0195827, 0.0447492, 0.0405982, 0.9990683, 0.0146736, -0.0012327, 0.0189733, -0.0154535, 0.9997007, 0.0113449, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
